customer_id,name,gender,age,city,signup_date
75,양상훈,F,60,울산,2024-01-17
76,김수빈,M,45,울산,2024-06-26
77,김은주,M,64,서울,2024-09-17
78,김하은,F,21,울산,2023-10-21
79,이서준,M,69,부산,2023-08-09
80,김현우,F,30,인천,2024-04-11
81,최영자,M,26,울산,2023-08-19
82,노정수,F,35,수원,2024-03-22
83,전은경,F,22,수원,2024-03-21
84,김성호,F,21,성남,2023-10-04
85,김선영,F,23,인천,2024-01-10
86,최준호,F,44,수원,2026-03-25
87,유서현,M,31,울산,2024-04-12
88,송춘자,F,28,울산,2023-09-11
89,유종수,F,42,광주,2025-05-04
90,문지원,M,36,울산,2024-09-21
91,한성훈,M,27,인천,2023-10-03
92,김지은,M,31,서울,2025-07-19
93,류준호,F,65,대전,2024-07-15
94,김성진,F,21,고양,2023-11-19
95,이은주,M,50,성남,2025-04-15
96,홍순옥,F,21,성남,2023-09-15
97,주민준,F,29,부산,2024-09-19
98,최성현,F,61,인천,2024-12-03
99,나민석,M,25,고양,2026-01-15
100,김시우,F,55,고양,2025-10-19
101,박정희,F,57,부산,2026-06-10
102,이진호,M,60,고양,2024-12-28
103,장미정,M,34,인천,2024-11-12
104,장순옥,M,33,광주,2026-07-22
105,김승현,M,26,광주,2025-03-14
106,배은정,M,38,부산,2024-11-13
107,전성수,F,47,고양,2024-06-25
108,최재호,F,22,성남,2025-07-26
109,장영일,F,50,광주,2024-04-23
110,이정숙,F,40,부산,2026-03-22
111,류정훈,F,41,광주,2026-06-14
112,송민재,F,46,성남,2023-10-14
113,박준혁,M,57,성남,2023-11-25
114,손영환,F,60,성남,2026-07-20
115,이민재,M,60,부산,2026-07-07
116,권종수,F,34,부산,2024-01-16
117,김지원,F,65,성남,2026-07-20
118,김선영,F,35,광주,2024-02-08
119,송정남,F,63,대전,2025-12-19
120,하춘자,F,61,광주,2026-03-12
121,손영자,M,34,서울,2025-12-02
122,김준호,F,58,울산,2025-07-03
123,김재현,M,20,서울,2025-10-21
124,김시우,M,67,대구,2024-10-20
125,이지후,M,28,수원,2023-12-07
126,김정수,M,53,서울,2024-07-01
127,이영철,F,22,대구,2025-05-10
128,전성훈,F,41,고양,2026-01-27
129,김춘자,F,45,대구,2026-01-14
130,김성현,F,37,대전,2025-03-31
131,곽영자,F,40,인천,2025-11-29
132,배예지,F,60,부산,2024-09-30
133,김성진,M,67,성남,2026-06-24
134,오지현,M,57,대구,2024-02-18
135,박하윤,F,28,대구,2026-02-08
136,김은주,M,19,대구,2024-03-01
137,김선영,M,68,울산,2024-12-24
138,이정훈,F,35,대구,2025-03-14
139,하승현,F,42,서울,2023-12-09
140,권광수,M,32,인천,2025-01-28
141,김진호,M,40,광주,2023-10-05
142,하서연,F,32,서울,2023-09-04
143,김예은,F,43,대전,2024-01-28
144,김정자,M,22,광주,2025-02-27
145,조정호,M,59,성남,2024-01-28
146,김숙자,M,61,성남,2026-01-18
147,이정남,M,19,부산,2025-03-09
148,오도현,M,29,고양,2026-07-11
149,김정자,M,20,부산,2024-11-14
150,조미영,M,40,대전,2025-12-30
